"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20253","11","서울시","CS300043","전자상거래업","34538013014","627267","25461739993","9076273021","5079394528","4791726567","5312821428","4188194169","6089603301","4421959188","4654313833","378046148","3050640706","9228694605","10347596395","9842055072","1690980088","18271613486","13232842583","292802463","5170349615","9917414294","7488684174","5905991176","2729214352","394248","233019","68915","71275","73349","79958","100751","146534","86485","6017","20497","163157","212195","199514","25887","256291","347266","17711","193439","158497","114627","81161","38120"
"20253","11","서울시","CS300036","조명용품","418496699255","3935642","387309166169","31187533086","99312273896","85854745993","79442368032","61487076432","61212701816","25163584314","6023948772","827933035","120400998296","124098128340","140333861983","32607353955","228423646","224006048906","93198042299","28936435","4273024847","37943072256","67778738183","112281296148","94899023355","3384888","550754","757097","756790","609797","645387","615817","419447","131307","32120","1045900","1136815","1193009","465013","62785","2243370","860457","8492","130680","359372","504666","834993","1265619"
"20253","11","서울시","CS300035","인테리어","57601968922","901129","48887822242","8714146680","12122259853","9892515494","7896717686","10064729767","8911599442","7388127732","1326018948","177030118","15901764987","16436259663","17556779577","6949966448","580168129","24166646397","21687676810","53340889","1268394179","5352940699","8459387018","11819308083","18900148658","736122","165007","157940","161171","133370","143035","140606","132516","32491","5136","233449","259000","258110","143681","1753","441508","325402","3829","33382","92430","121608","182474","333132"
"20253","11","서울시","CS300033","철물점","48545148249","1284447","42328931003","6216217246","8155197285","9698458066","7960845889","8258509640","8255920123","5226610371","989606875","34497615","15086021358","13908165351","14444985513","4977819735","93658677","22341213484","13749751048","28205423","753413874","4311064940","6185465301","9509815073","15303045818","1080371","204076","224246","236806","194344","208272","216703","160006","44070","1060","395284","378498","341322","167263","1020","706929","275102","2417","33739","137920","172547","255498","379934"
"20253","11","서울시","CS300032","가전제품","278800175018","537882","164982737564","113817437454","37050016948","31960571250","31796294821","26117509631","38058344914","63912839126","49904598328","0","14478268284","75467035607","98586091476","89046324196","1222455455","141258957417","130553096935","83702747","12156094380","53768507728","62788046541","68258551128","74757151826","330796","207086","74122","66533","64298","60057","65786","108009","99077","0","34764","142479","180892","175757","3990","297977","224098","704","30418","105172","111418","115498","158873"
"20253","11","서울시","CS300031","가구","153885694703","303758","92888077089","60997617614","17953979461","20890110419","15900035485","20829097905","17314853819","32827437442","28170180172","4017522","7472370836","39714247644","66841713505","39835404150","17941046","68446332334","74081422236","34263413","6176235847","25626495869","32138769050","33689654523","44862379939","226917","76841","46312","50050","42083","43413","45059","45108","31733","34","38960","96512","112746","55413","93","127624","145985","465","16439","50392","57249","67123","81970"
"20253","11","서울시","CS300029","애완동물","12883202932","279977","8639107331","4244095601","1955483731","1812161340","1558788304","1834804890","1477869066","2293711304","1950384297","136909026","1020826226","2876324058","4546869835","3710602682","591671105","4477452602","7932053458","23809458","1666574507","2822815859","2348605448","2457149428","3090551368","191082","88896","39871","40706","35090","37156","38260","50759","38137","2395","17208","65914","82514","99115","12832","101805","174987","1050","27071","50294","44782","72264","81325"
"20253","11","서울시","CS300028","화초","58084751823","1229012","45360149858","12724601966","8381429625","9853779028","9095391885","8170856729","9858692590","8308832710","4415769255","525670808","11129329052","15653674219","18194216539","10974420081","1607441125","19622920406","22297940977","181141578","4267451133","8885805950","7765794518","8704504900","12116262671","933839","295174","165596","190252","173424","187118","217451","199786","95389","10408","170188","353532","342490","325829","26565","450112","611914","13175","193886","272661","182840","190927","208552"
"20253","11","서울시","CS300027","섬유제품","28560172770","359183","22708590047","5851582723","4513872300","5005149408","4952669731","3845332253","4391566355","4160307061","1691275662","159847","3437263753","8440376890","10227175236","6415719780","39477264","9822559790","15516351413","18241215","718965373","2829821850","3358678807","6523065989","11890137962","291484","67699","61048","59827","51608","61467","57534","47334","20365","11","49437","110038","128142","71095","460","121285","215482","588","9055","27003","34551","92725","172840"
"20253","11","서울시","CS300026","완구","31696331073","2008998","19490426518","12205904555","3546809871","3676961204","2652434420","4301535446","5312685577","7479855310","4726049245","5690176","1300720531","8052786355","10297737507","11424444556","614951948","17413676081","13893773926","574785321","7394379684","8770157857","7278875929","3188016088","4101235130","1163464","845534","195360","206228","177666","209286","374924","503392","342142","282","53327","387907","692779","846476","28227","705147","1301549","74812","842889","561917","326200","124278","76602"
